position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian,hamiltonian_difference,dissipated_power,sum
0.3522088925290586,0.3829802541700748,0.1009904152142815,0.9656813545809579,0.5048737935085642,0.8812426201913123,0.5424520920300703,0.8857785428070009,0.9451309172427304,0.11947484238759318,0.03829865696948687,0.6244003615020612,0.23047351510052103,0.25433418452894474,0.138921770917038,-0.12502822225337856,0.009346665413037473,0.4567059644255287,-0.0018098754329295924,-0.17677368961367648,0.45336759486547185,0.08751403832667862,0.07306194431964545,-0.3245794896377695,0.18853597316886767,2.1540977817114038,2.99,0.7779916409528802,-0.000580942118035277,0.0005799359988714403,1.0061191638366862e-06
0.35452118679301103,0.38552877809778346,0.10239410633982415,0.9644363889159671,0.5049659772828972,0.8858085571065499,0.5424226333350286,0.8839985253199706,0.9496559053527248,0.1203515234050145,0.039045106951523356,0.6211597882525066,0.23198533768995913,0.2553706010127852,0.14181645419149483,-0.1239649107448048,0.009090089453554478,0.4564814186219988,-0.004081863575408372,-0.17922980779237235,0.4516300271334239,0.08782216515758554,0.07622805208765075,-0.3235351602731559,0.20728057619229348,-0.49262531192591985,3.0,0.7774106988348449,-0.0005801347732830031,0.0005800091937307668,1.2557955223629642e-07
0.3568488740351663,0.38808773744402064,0.10382731215266185,0.9632028721027813,0.5050560837520345,0.8903724379969382,0.5423702490043503,0.8821934117824793,0.9541631099623618,0.12122996290969809,0.039823037764805974,0.6179295417312315,0.2335521107410907,0.25642126823465555,0.14482470837604486,-0.12273845189233308,0.008931204373918417,0.45629475945566716,-0.006395002560268281,-0.18179289970586826,0.4498108947939648,0.08786573577913322,0.07935811056887336,-0.32251414398186135,0.20839027072878022,2.221503497847664,3.0100000000000002,0.7768305640615619,-0.0005798407768062841,0.0005805983781522463,7.576013459621679e-07
0.359191909362375,0.3906570162767607,0.10529021337190217,0.9619810593756416,0.5051442656356633,0.8949343802980673,0.5422950225708161,0.8803631398511566,0.9586521983036378,0.12210962388107395,0.04063233244622702,0.614709758609136,0.2350549547006503,0.2574344983133498,0.14775553547201964,-0.1216240935356026,0.008705172351846991,0.45609370077013967,-0.008650284146569095,-0.18426148655868,0.4480067734612517,0.0880664584960396,0.08250082571533632,-0.321442480437245,0.19188687859097592,-0.5275161848538666,3.02,0.7762507232847556,-0.0005794900426615568,0.0005810230046070492,1.5329619454923895e-06
0.3615491077986567,0.39323600807291487,0.10678113025125374,0.9607685414152405,0.5052290800740057,0.8994939547974322,0.5421979918925561,0.8785095964941584,0.9631238020192289,0.12299405094279141,0.04147334104029428,0.6115013298307208,0.23638473255568182,0.25836386091749025,0.1504278403982938,-0.12087949854462905,0.008257715316634712,0.45582119910284347,-0.010755851505417717,-0.1864471848409526,0.44631396965696274,0.08881895384745114,0.0857008930981148,-0.3202432752457868,0.15998234126876235,2.0889159975281397,3.0300000000000002,0.7756712332420941,-0.00057840764395789,0.0005805131952050331,2.10555124714306e-06
0.3639183088820643,0.39582369698502573,0.10829673645516734,0.9595605808967972,0.5053076909605374,0.9040501774482292,0.5420810203680562,0.8766363694944515,0.9675794515335121,0.12389035387118684,0.04234681193889426,0.6083058780429821,0.2374554841258398,0.25917392150468066,0.1526934003844263,-0.1207126051440285,0.0074644619897076565,0.4554233310565543,-0.012638453394580458,-0.1881982151004358,0.44481593319967594,0.09044163183163624,0.08899328662188075,-0.31884708230196646,0.11680595865921656,-0.740966425012404,3.04,0.7750928255981362,-0.0005759873937732918,0.0005783944374738314,2.4070437005396664e-06
0.3662966600351334,0.39841878875598413,0.10983248242816637,0.9583507374522046,0.5053762450444902,0.9086015804521913,0.541946565780969,0.8747482881311994,0.9720213909393962,0.12480825077178045,0.04325377259340178,0.6051256335615594,0.23821474648798444,0.25984443268699836,0.15445579421537994,-0.12125608377448906,0.006246354800851964,0.45485726973586055,-0.014252464022853599,-0.18941805754996358,0.4435719479771478,0.09313774828708639,0.09239884427962383,-0.3172018139825886,0.06786862865581675,1.8215118433433313,3.0500000000000003,0.7745168382043629,-0.0005718689653950726,0.0005742724389153235,2.4034735202508933e-06
0.3686809814260988,0.4010198733866429,0.11138317587425889,0.95713169954333,0.5054303729177264,0.9131463578270009,0.5417973765816866,0.8728508128515705,0.9764522937249177,0.12575879635649087,0.04419537547150715,0.6019632206337824,0.23864953170508957,0.26037249344475294,0.15568289500312396,-0.122551498000421,0.0045792198463934395,0.45409820522607186,-0.01558537583361899,-0.19007699837582567,0.4426086091271414,0.09697136865499881,0.09592173134144963,-0.3152807715728023,0.01938406561197573,-1.0287343206785313,3.06,0.7739449692389678,-0.000566047501833089,0.000568146294182915,2.0987923498259073e-06
0.3710681654448783,0.40362559814480686,0.112943646883522,0.9558962167611792,0.505465750728855,0.917682569587797,0.5416361542898682,0.8709493520542552,0.9808749132773719,0.12675295847346452,0.04517272937872797,0.5988213787147848,0.2387872720508098,0.26077245818803296,0.15641130684949747,-0.1245450584297403,0.002496342379329624,0.453144146933146,-0.016659082530055016,-0.19021516108723388,0.4419153013636917,0.10186105473972853,0.09954905010271455,-0.31308761222672093,-0.022527461893465273,1.5494134577603293,3.0700000000000003,0.7733789217371347,-0.0005588713836834902,0.000560405255176277,1.5338714927867498e-06
0.37345556015758746,0.4062348287738941,0.11450941402007671,0.9546380144459553,0.5054786513116505,0.9222083793007343,0.5414652248232461,0.8690485926276412,0.9852917117579154,0.12780022318299,0.04618673779269163,0.5957026535497163,0.2386916704910263,0.26107366762941586,0.1567421204614452,-0.12709540461504182,8.377417977098852e-05,0.452017795654295,-0.01752681079435976,-0.18993672423554878,0.44144439474500957,0.1075918871653691,0.10325263269001882,-0.31065742078697145,-0.05259756431529553,-1.2512256814734954,3.08,0.7728200503534512,-0.0005509306270259362,0.0005517117716315917,7.81144605655512e-07
0.37584128870314465,0.4088467788605055,0.11607726692747078,0.9533525757640205,0.505466415285554,0.9267222935416994,0.5412862603026568,0.8671519284835756,0.9897045151921947,0.1289074031227563,0.04723796457094379,0.59260909853258,0.23845403862040632,0.26131634969286754,0.15682846101736767,-0.1299923317719186,-0.002530979399051996,0.450765052538723,-0.01826609332350806,-0.18939610457757167,0.4411162921108517,0.11384410078789345,0.10699272296041287,-0.3080535826402911,-0.0670893474565693,1.404082883550655,3.09,0.7722691197264253,-0.0005428835156537914,0.000542819137622637,6.437803115448039e-08
0.37822446530856124,0.4114610919362686,0.11764569105377819,0.9520376941573183,0.5054277833716535,0.9312233697660525,0.5411000862782307,0.8652610582120834,0.994114240658543,0.13007779634091524,0.048326543565279316,0.5895420271373051,0.23818128246290887,0.261546265459754,0.1568563642441137,-0.13298398956852375,-0.00519540338105673,0.4494501923318743,-0.018968711561717866,-0.18877794972085285,0.4408288011588104,0.12023454284389073,0.11072307590669193,-0.30536069641470576,-0.06425247430594641,-1.30168851028213,3.1,0.7717262362107715,-0.0005352917160095227,0.0005343950421552856,8.966738542371799e-07
0.38060528234643726,0.41407786737476177,0.11921507985913873,0.9506937291704752,0.5053630493056215,0.935711361759802,0.5409065981292055,0.863375800785583,0.9985207332870706,0.13131079673233353,0.04945214288325228,0.5865018519418802,0.2379821251122939,0.2618088222388743,0.15702139682799607,-0.13580900780009544,-0.007751409825357513,0.4481482064180327,-0.019728918243312,-0.18827353557923251,0.4404697245466884,0.12636553543977108,0.11439678768790093,-0.30267434267028054,-0.04454928084019354,1.4541410321219121,3.11,0.771190944494762,-0.0005285243049518717,0.0005269126411369585,1.6116638149132976e-06
0.3829849598101528,0.4166976286053121,0.12078770687282595,0.9493235371246215,0.5052740159443778,0.9401867790296016,0.5407047960747801,0.8614941498819795,1.0029227373056482,0.13260199873175946,0.05061398754882198,0.5834880354325775,0.23795336763081298,0.2621434238711931,0.15750400590944566,-0.13822940137064882,-0.010055262423368775,0.4469352475418869,-0.020631492641769934,-0.18805664514145837,0.43993107916883,0.13187486444541477,0.11797214542603887,-0.300088959190244,-0.010566363310668112,-1.1581522646187559,3.12,0.7706624201898101,-0.0005227544926463823,0.0005206342644336838,2.120228212698508e-06
0.3853655664065233,0.4193212395867408,0.12236746066563019,0.9479320898106092,0.505163762377043,0.9446508473554246,0.5404929327719195,0.8596125566905582,1.0073180082938906,0.1339437757566099,0.05181093699637764,0.5804991636424417,0.23816795164329496,0.2625787724145432,0.15844675265140262,-0.1400600614318186,-0.011995451043593494,0.4458784176227266,-0.02174116793034015,-0.18826199314279304,0.439123118479646,0.13648054052467293,0.12141774408509405,-0.2976853988369222,0.03331772734121318,1.6723914916318623,3.13,0.7701396656971637,-0.0005180277550832502,0.0005156680434122964,2.359711670953785e-06
0.3877497376986015,0.4219497818796368,0.12395937608598638,0.9465258337404304,0.505036253722288,0.9491053708584233,0.5402687530379089,0.857726402156222,1.0117035554115292,0.13532625240759952,0.0530416070554026,0.5775331375836648,0.23866630677234182,0.26312968616466115,0.15993633141983618,-0.14119115260392048,-0.01350627990741011,0.44502628297700847,-0.023094778871783444,-0.18896891372445912,0.43798630504805786,0.14001478967324843,0.12471626771989633,-0.295519812918467,0.08151708625384771,-0.8932043043245027,3.14,0.7696216379420805,-0.0005143486545508003,0.0005120464653167661,2.302189234034183e-06
0.3901403291939515,0.42458440921479557,0.125569020940589,0.94511187436034,0.5048958447147628,0.9535525095341522,0.5400297938050885,0.8558305963213569,1.0160759851610108,0.1367385423372512,0.05430452064811223,0.5745874615215489,0.23945199229764927,0.2637957808670959,0.16199263950068707,-0.14160072341415147,-0.014575521597631215,0.4444014521687565,-0.02469706769227977,-0.19019225324854577,0.4364996448482708,0.14244319625708787,0.12786645082203038,-0.2936153995046933,0.1279384855834039,1.9503644050231308,3.15,0.7691072892875297,-0.0005117305980403275,0.0005097725897945497,1.9580082457777963e-06
